Year,Type,Geolocation,Season,CASH COSTS,NON-CASH COSTS,IMPUTED COSTS,TOTAL COSTS,GROSS RETURNS,RETURNS ABOVE CASH COSTS,RETURNS ABOVE CASH AND NON-CASH COSTS,NET RETURNS,NET PROFIT-COST RATIO,Cost per kilogram (pesos),Yield per hectare (kg),Farmgate price (pesos/kg),Population,Annual % Change
2002,Corn,PHILIPPINES,Average,5430,1377,4008,10815,13554,8124,6747,2739,0.25,5.65,1915,7.08,81285572,2.08
2002,Corn,PHILIPPINES,Dry,5255,1355,4535,11145,14096,8841,7486,2951,0.26,5.59,1994,7.07,81285572,2.08
2002,Corn,PHILIPPINES,Wet,5594,1398,3516,10508,13046,7452,6054,2538,0.24,5.7,1842,7.08,81285572,2.08
2003,Corn,PHILIPPINES,Average,5827,1317,4602,11746,12907,7080,5763,1161,0.1,6.13,1915,6.74,82942837,2.04
2003,Corn,PHILIPPINES,Dry,5487,1306,4961,11754,14254,8767,7461,2500,0.21,5.43,2163,6.59,82942837,2.04
2003,Corn,PHILIPPINES,Wet,6106,1348,4251,11705,12162,6056,4708,457,0.04,6.67,1755,6.93,82942837,2.04
2004,Corn,PHILIPPINES,Average,6849,1775,5088,13712,18593,11744,9969,4881,0.36,6.4,2142,8.68,84607501,2.01
2004,Corn,PHILIPPINES,Dry,6395,1837,5536,13768,20999,14604,12767,7231,0.53,6,2295,9.15,84607501,2.01
2004,Corn,PHILIPPINES,Wet,7295,1722,4654,13671,16761,9466,7744,3090,0.23,6.7,2039,8.22,84607501,2.01
2005,Corn,PHILIPPINES,Average,7717,1634,5436,14787,17014,9297,7663,2227,0.15,6.87,2151,7.91,86261250,1.95
2005,Corn,PHILIPPINES,Dry,7438,1660,5859,14957,18442,11004,9344,3485,0.23,6.78,2206,8.36,86261250,1.95
2005,Corn,PHILIPPINES,Wet,7994,1583,5004,14581,15540,7546,5963,959,0.07,6.88,2120,7.33,86261250,1.95
2006,Corn,PHILIPPINES,Average,7963,1962,5705,15630,21483,13520,11558,5853,0.37,6.61,2366,9.08,87901835,1.9
2006,Corn,PHILIPPINES,Dry,7764,2023,6170,15957,24447,16683,14660,8490,0.53,6.21,2568,9.52,87901835,1.9
2006,Corn,PHILIPPINES,Wet,8195,1922,5255,15372,19436,11241,9319,4064,0.26,6.88,2234,8.7,87901835,1.9
2007,Corn,PHILIPPINES,Average,9374,2223,6001,17598,25211,15837,13614,7613,0.43,6.92,2544,9.91,89561377,1.89
2007,Corn,PHILIPPINES,Dry,9539,2225,6604,18368,27227,17688,15463,8859,0.48,7,2623,10.38,89561377,1.89
2007,Corn,PHILIPPINES,Wet,9408,2220,5442,17070,23549,14141,11921,6479,0.38,6.85,2492,9.45,89561377,1.89
2008,Corn,PHILIPPINES,Average,11805,2507,6725,21037,28748,16943,14436,7711,0.37,8.08,2604,11.04,91252326,1.89
2008,Corn,PHILIPPINES,Dry,10886,2490,7395,20771,31885,20999,18509,11114,0.54,7.17,2896,11.01,91252326,1.89
2008,Corn,PHILIPPINES,Wet,12681,2519,6101,21301,26330,13649,11130,5029,0.24,8.93,2385,11.04,91252326,1.89
2009,Corn,PHILIPPINES,Average,12361,2009,7460,21830,27278,14917,12908,5448,0.25,8.73,2501,10.91,92946951,1.86
2009,Corn,PHILIPPINES,Dry,..,..,..,..,..,..,..,..,..,..,..,..,92946951,1.86
2009,Corn,PHILIPPINES,Wet,..,..,..,..,..,..,..,..,..,..,..,..,92946951,1.86
2010,Corn,PHILIPPINES,Average,12443,2107,8196,22746,28506,16063,13956,5760,0.25,8.91,2552,11.17,94636700,1.82
2010,Corn,PHILIPPINES,Dry,..,..,..,..,..,..,..,..,..,..,..,..,94636700,1.82
2010,Corn,PHILIPPINES,Wet,..,..,..,..,..,..,..,..,..,..,..,..,94636700,1.82
