Year,Type,Geolocation,Season,CASH COSTS,NON-CASH COSTS,IMPUTED COSTS,TOTAL COSTS,GROSS RETURNS,RETURNS ABOVE CASH COSTS,RETURNS ABOVE CASH AND NON-CASH COSTS,NET RETURNS,NET PROFIT-COST RATIO,Cost per kilogram (pesos),Yield per hectare (kg),Farmgate price (pesos/kg),Population,Annual % Change
2002,Palay,PHILIPPINES,Average,9325,6964,5068,21357,27483,18158,11194,6126,0.29,6.7,3188,8.62,81285572,2.08
2002,Palay,PHILIPPINES,Dry,9106,6982,5466,21554,27394,18288,11306,5840,0.27,6.91,3118,8.79,81285572,2.08
2002,Palay,PHILIPPINES,Wet,9549,6946,4667,21162,27573,18024,11078,6411,0.3,6.49,3260,8.46,81285572,2.08
2003,Palay,PHILIPPINES,Average,9472,7322,5610,22404,29791,20319,12997,7387,0.33,6.65,3370,8.84,82942837,2.04
2003,Palay,PHILIPPINES,Dry,9296,7295,5913,22504,29416,20120,12825,6912,0.31,6.85,3283,8.96,82942837,2.04
2003,Palay,PHILIPPINES,Wet,9656,7320,5296,22272,29944,20288,12968,7672,0.34,6.49,3430,8.73,82942837,2.04
2004,Palay,PHILIPPINES,Average,10645,8075,6049,24769,33198,22552,14478,8428,0.34,7.05,3513,9.45,84607501,2.01
2004,Palay,PHILIPPINES,Dry,10173,7843,6291,24307,32627,22454,14611,8320,0.34,6.95,3497,9.33,84607501,2.01
2004,Palay,PHILIPPINES,Wet,11209,8300,5810,25319,33689,22481,14180,8371,0.33,7.18,3524,9.56,84607501,2.01
2005,Palay,PHILIPPINES,Average,11871,8992,6523,27386,37423,25552,16560,10037,0.37,7.63,3588,10.43,86261250,1.95
2005,Palay,PHILIPPINES,Dry,11753,8982,6874,27609,38020,26267,17285,10412,0.38,7.68,3597,10.57,86261250,1.95
2005,Palay,PHILIPPINES,Wet,12081,8993,6176,27250,36813,24731,15739,9563,0.35,7.61,3581,10.28,86261250,1.95
2006,Palay,PHILIPPINES,Average,12122,9165,6749,28036,38535,26412,17247,10498,0.37,7.61,3684,10.46,87901835,1.9
2006,Palay,PHILIPPINES,Dry,12178,9350,7193,28722,40017,27838,18488,11295,0.39,7.77,3695,10.83,87901835,1.9
2006,Palay,PHILIPPINES,Wet,12162,8981,6303,27447,37128,24965,15984,9681,0.35,7.47,3676,10.1,87901835,1.9
2007,Palay,PHILIPPINES,Average,12734,9993,7135,29862,42647,29914,19920,12785,0.43,7.86,3801,11.22,89561377,1.89
2007,Palay,PHILIPPINES,Dry,12657,9651,7523,29831,41392,28735,19084,11561,0.39,8,3729,11.1,89561377,1.89
2007,Palay,PHILIPPINES,Wet,12902,10318,6752,29972,43693,30791,20473,13721,0.46,7.78,3853,11.34,89561377,1.89
2008,Palay,PHILIPPINES,Average,15571,12458,8239,36268,53270,37699,25241,17002,0.47,9.62,3770,14.13,91252326,1.89
2008,Palay,PHILIPPINES,Dry,14930,13020,8907,36857,56781,41851,28832,19924,0.54,9.72,3793,14.97,91252326,1.89
2008,Palay,PHILIPPINES,Wet,16260,11875,7588,35723,49853,33593,21718,14130,0.4,9.52,3754,13.28,91252326,1.89
2009,Palay,PHILIPPINES,Average,15881,13051,7910,36841,50324,34444,21393,13483,0.37,10.81,3409,14.76,92946951,1.86
2009,Palay,PHILIPPINES,Dry,16610,13882,7917,38409,53773,37162,23280,15363,0.4,10.97,3500,15.36,92946951,1.86
2009,Palay,PHILIPPINES,Wet,14846,11872,7901,34618,45434,30588,18717,10816,0.31,10.55,3280,13.85,92946951,1.86
2010,Palay,PHILIPPINES,Average,15663,13609,8757,38029,53859,38196,24587,15830,0.42,10.5,3622,14.87,94636700,1.82
2010,Palay,PHILIPPINES,Dry,16303,14169,8728,39200,55546,39243,25074,16346,0.42,10.77,3640,15.26,94636700,1.82
2010,Palay,PHILIPPINES,Wet,14893,12967,8896,36756,52294,37401,24434,15538,0.42,10.18,3609,14.49,94636700,1.82
2011,Palay,PHILIPPINES,Average,16844,14065,9094,40003,55795,38951,24886,15792,0.39,10.88,3678,15.17,96337913,1.8
2011,Palay,PHILIPPINES,Dry,17182,14641,9028,40851,58155,40973,26332,17304,0.42,10.75,3801,15.3,96337913,1.8
2011,Palay,PHILIPPINES,Wet,16339,13436,9260,39035,53858,37519,24083,14823,0.38,10.9,3581,15.04,96337913,1.8
2012,Palay,PHILIPPINES,Average,17703,15297,9475,42475,62366,44663,29366,19891,0.47,11.05,3845,16.22,98032317,1.76
2012,Palay,PHILIPPINES,Dry,18305,15785,9380,43470,63683,45378,29593,20213,0.46,11.22,3876,16.43,98032317,1.76
2012,Palay,PHILIPPINES,Wet,16808,14706,9677,41191,61174,44366,29660,19983,0.49,10.78,3821,16.01,98032317,1.76
2013,Palay,PHILIPPINES,Average,19715,13580,8765,42060,58878,39163,25583,16818,0.4,11.97,3513,16.76,99700107,1.7
2013,Palay,PHILIPPINES,Dry,19426,12928,8138,40492,57484,38058,25130,16992,0.42,11.39,3555,16.17,99700107,1.7
2013,Palay,PHILIPPINES,Wet,19967,14155,9317,43439,60152,40185,26030,16713,0.38,12.5,3475,17.31,99700107,1.7
2014,Palay,PHILIPPINES,Average,20996,17243,11125,49364,80320,59324,42081,30956,0.63,12.33,4002,20.07,101325201,1.63
2014,Palay,PHILIPPINES,Dry,21016,16839,10675,48530,80379,59363,42524,31849,0.66,12.15,3995,20.12,101325201,1.63
2014,Palay,PHILIPPINES,Wet,20984,17558,11472,50014,80240,59256,41698,30226,0.6,12.48,4008,20.02,101325201,1.63
2015,Palay,PHILIPPINES,Average,20562,15134,10895,46591,67542,46980,31846,20951,0.45,11.95,3898,17.33,103031365,1.68
2015,Palay,PHILIPPINES,Dry,20568,15064,10388,46020,70292,49724,34660,24272,0.53,11.4,4036,17.42,103031365,1.68
2015,Palay,PHILIPPINES,Wet,20532,15158,11295,46985,65302,44770,29612,18317,0.39,12.4,3789,17.24,103031365,1.68
2016,Palay,PHILIPPINES,Average,20207,12048,10453,42708,67427,47220,35172,24719,0.58,11.04,3869,17.43,104875266,1.79
2016,Palay,PHILIPPINES,Dry,20217,11457,9912,41587,68093,47876,36418,26506,0.64,10.49,3964,17.18,104875266,1.79
2016,Palay,PHILIPPINES,Wet,20124,12605,10955,43684,67158,47034,34430,23474,0.54,11.5,3799,17.68,104875266,1.79
